Cause,Age_Group,Year,Deaths
Ischaemic heart diseases (I20-I25),55–64 years,2023,1575.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2023,1330.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2023,669.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2023,2698.0
Ischaemic heart diseases (I20-I25),65–74 years,2023,2655.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2023,1794.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2023,4429.0
Ischaemic heart diseases (I20-I25),75–84 years,2023,4305.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2023,2910.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2023,8622.0
Ischaemic heart diseases (I20-I25),85–94 years,2023,5776.0
Cerebrovascular diseases (I60-I69),85–94 years,2023,3717.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2023,2748.0
Ischaemic heart diseases (I20-I25),95 years and over,2023,1833.0
Cerebrovascular diseases (I60-I69),95 years and over,2023,1104.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2024,558.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2024,210.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2024,93.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2024,48.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2024,38.0
Malignant neoplasm of brain (C71),1–14 years,2024,36.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2024,317.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2024,259.0
Accidental poisoning (X40-X49),15–24 years,2024,76.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2024,602.0
Accidental poisoning (X40-X49),25–34 years,2024,258.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2024,229.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2024,644.0
Accidental poisoning (X40-X49),35–44 years,2024,384.0
Ischaemic heart diseases (I20-I25),35–44 years,2024,186.0
Ischaemic heart diseases (I20-I25),45–54 years,2024,678.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2024,623.0
Accidental poisoning (X40-X49),45–54 years,2024,433.0
Ischaemic heart diseases (I20-I25),55–64 years,2024,1597.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2024,1306.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2024,721.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2024,2796.0
Ischaemic heart diseases (I20-I25),65–74 years,2024,2518.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2024,2002.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2024,4547.0
Ischaemic heart diseases (I20-I25),75–84 years,2024,4032.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2024,3228.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2024,9069.0
Ischaemic heart diseases (I20-I25),85–94 years,2024,5398.0
Cerebrovascular diseases (I60-I69),85–94 years,2024,3583.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2024,3004.0
Ischaemic heart diseases (I20-I25),95 years and over,2024,1817.0
Cerebrovascular diseases (I60-I69),95 years and over,2024,1045.0
