Cause,Deaths,Year,Sex
Secondary and unspecified malignant neoplasm of lymph nodes (C77),129.0,2015,Male
Secondary malignant neoplasm of respiratory and digestive organs (C78),2107.0,2015,Male
Secondary malignant neoplasm of other and unspecified sites (C79),2840.0,2015,Male
"Malignant neoplasm, without specification of site (C80)",1999.0,2015,Male
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)",3341.0,2015,Male
Hodgkin lymphoma (C81),71.0,2015,Male
Follicular lymphoma (C82),35.0,2015,Male
Non-follicular lymphoma (C83),278.0,2015,Male
Mature T/NK-cell lymphomas (C84),102.0,2015,Male
Other and unspecified types of non-Hodgkin lymphoma (C85),761.0,2015,Male
Other specified types of T/NK-cell lymphoma (C86),4.0,2015,Male
Malignant immunoproliferative diseases (C88),42.0,2015,Male
Multiple myeloma and malignant plasma cell neoplasms (C90),734.0,2015,Male
Lymphoid leukaemia (C91),513.0,2015,Male
Myeloid leukaemia (C92),716.0,2015,Male
Monocytic leukaemia (C93),83.0,2015,Male
Other leukaemias of specified cell type (C94),3.0,2015,Male
Leukaemia of unspecified cell type (C95),114.0,2015,Male
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (C96)",18.0,2015,Male
Malignant neoplasms of independent (primary) multiple sites  (C97-C97),0.0,2015,Male
Malignant neoplasms of independent (primary) multiple sites (C97),0.0,2015,Male
Other Neoplasms (D00-D48),1467.0,2015,Male
In situ neoplasms (D00-D09),4.0,2015,Male
"Carcinoma in situ of oral cavity, oesophagus and stomach (D00)",0.0,2015,Male
Carcinoma in situ of other and unspecified digestive organs (D01),0.0,2015,Male
Carcinoma in situ of middle ear and respiratory system (D02),1.0,2015,Male
Melanoma in situ (D03),0.0,2015,Male
Carcinoma in situ of skin (D04),2.0,2015,Male
Carcinoma in situ of breast (D05),0.0,2015,Male
Carcinoma in situ of cervix uteri (D06),0.0,2015,Male
Carcinoma in situ of other and unspecified genital organs (D07),1.0,2015,Male
Carcinoma in situ of other and unspecified sites (D09),0.0,2015,Male
Benign neoplasms (D10-D36),131.0,2015,Male
Benign neoplasm of mouth and pharynx (D10),1.0,2015,Male
Benign neoplasm of major salivary glands (D11),1.0,2015,Male
"Benign neoplasm of colon, rectum, anus and anal canal (D12)",5.0,2015,Male
Benign neoplasm of other and ill-defined parts of digestive system (D13),4.0,2015,Male
Benign neoplasm of middle ear and respiratory system (D14),0.0,2015,Male
Benign neoplasm of other and unspecified intrathoracic organs (D15),6.0,2015,Male
Benign neoplasm of bone and articular cartilage (D16),2.0,2015,Male
Benign lipomatous neoplasm (D17),0.0,2015,Male
"Haemangioma and lymphangioma, any site (D18)",8.0,2015,Male
Benign neoplasm of mesothelial tissue (D19),0.0,2015,Male
Benign neoplasm of soft tissue of retroperitoneum and peritoneum (D20),0.0,2015,Male
Other benign neoplasms of connective and other soft tissue (D21),0.0,2015,Male
Melanocytic naevi (D22),0.0,2015,Male
Other benign neoplasms of skin (D23),3.0,2015,Male
Benign neoplasm of breast (D24),0.0,2015,Male
Leiomyoma of uterus (D25),0.0,2015,Male
Other benign neoplasms of uterus (D26),0.0,2015,Male
Benign neoplasm of ovary (D27),0.0,2015,Male
Benign neoplasm of other and unspecified female genital organs (D28),0.0,2015,Male
Benign neoplasm of male genital organs (D29),1.0,2015,Male
Benign neoplasm of urinary organs (D30),1.0,2015,Male
Benign neoplasm of eye and adnexa (D31),0.0,2015,Male
Benign neoplasm of meninges (D32),52.0,2015,Male
Benign neoplasm of brain and other parts of central nervous system (D33),11.0,2015,Male
Benign neoplasm of thyroid gland (D34),2.0,2015,Male
Benign neoplasm of other and unspecified endocrine glands (D35),28.0,2015,Male
Benign neoplasm of other and unspecified sites (D36),8.0,2015,Male
Neoplasms of uncertain or unknown behaviour (D37-D48),1334.0,2015,Male
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs (D37),94.0,2015,Male
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs (D38),23.0,2015,Male
Neoplasm of uncertain or unknown behaviour of female genital organs (D39),0.0,2015,Male
Neoplasm of uncertain or unknown behaviour of male genital organs (D40),1.0,2015,Male
Neoplasm of uncertain or unknown behaviour of urinary organs (D41),32.0,2015,Male
Neoplasm of uncertain or unknown behaviour of meninges (D42),0.0,2015,Male
Neoplasm of uncertain or unknown behaviour of brain and central nervous system (D43),108.0,2015,Male
Neoplasm of uncertain or unknown behaviour of endocrine glands (D44),21.0,2015,Male
